Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,330u,
"C10, C11, C9",0603,3,10u,
"C12, C13, C14, C15, C16, C17, C18, C19",0603,8,0.1u,
"C2, C3, C4",0603,3,0.47u,
C5,0805,1,22u,
"C6, C7",0603,2,0.01u,
C8,0603,1,4.7u,
"D1, D2, D3, D4",D_SOD-323_HandSoldering,4,1N5819WS,
D5,D_SOD-323_HandSoldering,1,1N4148WS,
D6,0603,1,Yellow,
D7,0603,1,Green,
D8,0603,1,Red,
J1,AMASS_MR30PW-FB_1x03_P3.50mm_Horizontal,1,MR30PW-F,
J2,PinHeader_2x04_P2.54mm_Horizontal,1,control,
J3,PinHeader_2x07_P2.54mm_Horizontal,1,GND,
J4,PinHeader_2x07_P2.54mm_Horizontal,1,12V,
J5,CONN_3220-14-0300-00_CNC,1,STLink-V3,
J6,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,GH4,
L1,0603,1,2.2u,
"Q1, Q2, Q3, Q4, Q5, Q6",HSMT8,6,RH6G040CH,
"R1, R2, R3, R4, R5, R6",0603,6,15,
"R10, R11, R12, R7, R8, R9",0603,6,33k,
"R13, R14",0603,2,3.3k,
R15,0603,1,5k,
"R16, R17",0603,2,1k,
R18,0603,1,6.8k,
R19,0603,1,22k,
R20,0603,1,1.2k,
"R21, R22, R23, R24",0603,4,10k,
SW1,RESET,1,reset,
SW2,SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm,1,SW_DIP_x02,
U1,QFN_IN32G4_STM,1,STSPIN32G4,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO6520,
U3,SOT-23-8,1,TCAN3414DDFR,
"U4, U5",Allegro_QFN-12-10-1EP_3x3mm_P0.5mm,2,ACS711KEXLT-31AB,
